EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 01-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

 01- 05 STAID  : Station identifier
 07- 12 SOUID  : Source identifier
 14- 53 SOUNAME: Source name
 55- 56 CN     : Country code (ISO3116 country codes)
 58- 66 LAT    : Latitude in degrees:minutes:seconds (+: North, -: South)
 68- 77 LON    : Longitude in degrees:minutes:seconds (+: East, -: West)
 79- 82 HGTH   : Station elevation in meters
 84- 87 ELEI   : Element identifier (see website at Daily Data > Data dictionary > Elements)
 89- 96 BEGIN  : Begin date YYYYMMDD
 98-105 END    : End date YYYYMMDD
107-111 PARID  : Participant identifier
113-163 PARNAME: Participant name

STAID, SOUID,SOUNAME                                 ,CN,      LAT,       LON,HGHT,ELEI,   BEGIN,     END,PARID,PARNAME
 1911,107728,CROOKSTOWN G.S.                         ,IE,+51:51:22,-008:48:36,  61, RR3,19421101,19900430,   17,Conor Daly                                        
 1911,107743,MACROOM G.S.                            ,IE,+51:54:25,-008:57:50,  75, RR3,19421001,19950531,   17,Conor Daly                                        
 1911,107771,COACHFORD G.S.                          ,IE,+51:54:29,-008:47:31,  68, RR3,19421102,19910228,   17,Conor Daly                                        
 1911,107864,CARRIGADROHID (GEN.STN.)                ,IE,+51:53:49,-008:51:50,  67, RR3,19531112,20210731,   17,Conor Daly                                        
 1912,107755,KNOCKADERRY RESV.NO.1                   ,IE,+52:12:36,-007:16:16,  71, RR3,19410101,20080531,   17,Conor Daly                                        
 1912,107762,WATERFORD (TYCOR)                       ,IE,+52:15:11,-007:07:52,  49, RR3,19410101,20210731,   17,Conor Daly                                        
 1912,107772,KNOCKADERRY RESV.NO.2                   ,IE,+52:12:29,-007:16:41,  62, RR3,19410101,19900831,   17,Conor Daly                                        
 1912,107809,MOONCOIN (VOC.SCH.)                     ,IE,+52:17:31,-007:15:11,  53, RR3,19410101,19931130,   17,Conor Daly                                        
 1915,107775,ATHLONE O.P.W.                          ,IE,+53:25:19,-007:56:31,  37, RR3,19410101,20210731,   17,Conor Daly                                        
 1915,107826,GLASSON G.S.                            ,IE,+53:28:30,-007:51:50,  48, RR3,19420301,19910831,   17,Conor Daly                                        
